職員名,担当フロア,2025/4/7,2025/4/8,2025/4/9,2025/4/10,2025/4/11,2025/4/12,2025/4/13,2025/4/14,2025/4/15,2025/4/16,2025/4/17,2025/4/18,2025/4/19,2025/4/20,2025/4/21,2025/4/22,2025/4/23,2025/4/24,2025/4/25,2025/4/26,2025/4/27,2025/4/28,2025/4/29,2025/4/30,2025/5/1,2025/5/2,2025/5/3,2025/5/4,2025/5/5,2025/5/6,2025/5/7,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
Q,1F,日,日,日,早,公,明,公,早,早,公,日,早,公,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,早,公,日,早,日,10,,3,6,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,2F,日,公,日,公,早,夜,明,公,早,公,公,日,公,日,早,日,日,公,早,日,日,公,日,明,公,日,夜,明,公,公,公,11,,8,4,2,3
S,2F,明,公,日,早,公,夜,明,公,早,夜,明,公,日,日,日,公,日,公,早,日,日,早,公,夜,明,公,早,日,夜,明,公,8,,7,5,4,4
T,2F,夜,明,公,公,早,日,日,公,日,早,日,日,公,早,夜,明,公,日,夜,明,公,早,日,明,公,日,早,公,公,早,公,9,,8,6,2,3
U,2F,夜,明,公,公,早,日,夜,明,公,早,日,日,公,日,公,早,早,夜,明,公,日,日,公,日,早,公,公,日,日,早,日,8,,10,6,2,2
V,2F,明,公,日,早,日,公,日,公,夜,明,公,公,日,早,公,日,夜,明,公,公,早,日,日,公,日,夜,明,公,早,夜,明,9,,7,4,4,4
W,2F,夜,明,公,夜,明,公,早,日,公,日,早,早,早,公,夜,明,公,明,公,公,夜,明,公,公,早,公,日,早,夜,明,公,10,,3,6,4,5
X,2F,公,日,早,日,公,早,公,夜,明,公,日,夜,明,公,明,公,日,早,早,日,公,夜,明,公,早,公,日,夜,明,公,夜,9,,5,4,5,5
Y,2F,早,早,夜,明,公,公,日,日,公,日,早,夜,明,公,夜,明,公,早,公,早,早,日,公,夜,明,公,夜,明,公,公,早,10,,4,5,4,5
Z,2F,早,夜,明,公,夜,明,公,夜,明,公,日,早,夜,明,公,公,公,日,公,日,日,夜,明,公,夜,明,公,明,公,早,早,10,,4,3,5,6
AA,2F,日,公,公,日,夜,明,公,早,日,早,公,早,日,日,公,早,早,夜,明,公,明,公,日,公,夜,明,公,日,公,公,日,9,,7,5,3,4
AB,2F,明,公,公,夜,明,公,公,日,夜,明,公,公,夜,明,公,夜,明,公,公,日,公,早,早,早,日,公,日,夜,明,公,夜,10,,4,3,6,5
AC,2F,公,日,日,公,日,日,公,日,日,公,公,日,夜,明,公,夜,明,公,日,夜,明,公,夜,明,公,公,公,早,日,夜,明,10,,7,1,5,5
AD,2F,早,夜,明,公,日,早,日,公,日,公,早,日,早,公,日,日,公,早,日,夜,明,公,日,日,公,日,公,早,日,日,日,8,,13,5,1,1
AE,2F,日,早,夜,明,公,夜,明,公,日,日,公,公,公,日,早,早,公,日,公,夜,明,公,早,日,公,日,早,日,公,日,日,10,,9,4,2,3
AF,2F,公,早,夜,明,公,日,早,公,公,夜,明,公,日,夜,明,公,夜,明,公,早,公,日,夜,明,公,夜,明,公,早,日,公,10,,4,3,5,6
AG,2F,日,日,日,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,,0,0,0,0
AH,2F,公,日,日,早,公,日,公,早,公,日,日,夜,明,公,日,夜,明,公,夜,明,公,明,公,日,日,夜,明,公,日,公,日,9,,8,2,4,5
AI,2F,公,公,早,日,日,公,早,日,公,夜,明,公,日,公,公,日,夜,明,公,公,夜,明,公,夜,明,公,日,日,公,夜,明,10,,7,1,5,5
AJ,2F,公,日,早,公,公,公,公,夜,明,公,夜,明,公,早,日,日,公,日,日,公,早,日,夜,明,公,早,夜,明,公,日,公,11,,6,3,4,4
AK,2F,公,日,日,公,夜,明,公,日,夜,明,公,日,早,公,早,公,公,夜,明,公,日,公,公,日,夜,明,公,公,夜,明,公,12,,4,2,5,5
AL,2F,日,公,公,日,公,早,夜,明,公,公,早,公,公,公,日,公,早,日,日,公,夜,明,公,早,日,早,公,夜,明,公,夜,11,,5,5,4,3
AM,1F,公,夜,明,公,夜,明,公,日,早,日,日,公,公,夜,明,公,公,早,早,夜,明,公,夜,明,公,夜,明,公,明,公,公,11,,3,3,5,6
AN,2F,公,日,日,日,日,公,夜,明,公,日,夜,明,公,夜,明,公,日,公,日,早,公,夜,明,公,日,早,日,公,早,日,早,8,,8,4,4,4
AO,2F,公,公,公,夜,明,公,日,早,早,公,夜,明,公,夜,明,公,日,公,夜,明,公,早,早,早,公,日,公,公,日,公,公,11,,4,5,4,4
日勤合計,,,,,11,12,9,9,12,11,11,11,12,9,9,11,11,11,11,11,9,9,11,11,11,11,11,9,9,11,11,11,,,,,,
早出合計,,,,,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,,,,,,
夜勤合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
明勤合計,,,,,5,5,6,5,5,6,5,5,5,6,5,6,5,5,6,5,5,6,6,5,8,5,5,5,6,6,6,5,,,,,,
