職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
U,2F,夜,明,公,日,公,夜,明,公,夜,明,公,公,夜,明,公,日,公,早,公,日,夜,明,公,公,日,公,公,夜,明,公,公,13,,4,1,5,5
V,2F,明,公,日,早,夜,明,公,公,公,日,日,公,早,夜,明,公,日,日,夜,明,公,夜,明,公,早,夜,明,公,夜,明,公,9,,4,3,6,6
W,2F,夜,明,公,日,早,日,日,公,日,公,日,日,早,公,公,日,早,日,早,公,日,早,夜,明,公,公,公,夜,明,公,夜,9,,9,5,3,2
X,2F,公,日,早,公,早,日,日,早,公,日,早,日,公,日,夜,明,公,早,夜,明,公,公,早,公,日,夜,明,公,夜,明,公,9,,6,5,4,4
Y,2F,早,早,夜,明,公,公,夜,明,公,日,日,公,日,早,夜,明,公,夜,明,公,日,夜,明,公,日,日,夜,明,公,日,夜,8,,7,1,6,6
Z,2F,早,夜,明,公,日,公,早,日,早,公,公,公,早,日,夜,明,公,公,早,夜,明,公,日,早,夜,明,公,日,日,日,夜,9,,7,5,4,3
AA,2F,日,公,公,早,早,日,公,日,公,早,日,日,公,日,日,夜,明,公,日,夜,明,公,公,日,公,早,日,日,公,早,公,9,,10,5,2,2
AB,2F,明,公,公,夜,明,公,公,早,公,日,公,日,夜,明,公,日,公,公,夜,明,公,日,早,公,日,早,日,公,日,夜,明,10,,7,3,4,4
AC,2F,公,日,日,日,公,公,日,夜,明,公,公,夜,明,公,早,夜,明,公,日,公,公,日,日,早,早,公,日,日,早,早,公,10,,7,5,3,3
AD,2F,早,夜,明,公,公,早,早,夜,明,公,早,公,日,日,日,公,早,日,公,早,早,公,早,日,公,日,早,日,公,夜,明,9,,7,8,2,2
AE,2F,日,早,夜,明,公,早,公,日,日,公,公,日,日,早,公,日,夜,明,公,早,公,日,日,日,公,夜,明,公,早,早,公,10,,8,5,2,3
AF,2F,公,早,夜,明,公,公,早,早,早,公,日,早,日,早,公,早,夜,明,公,日,公,早,日,公,早,公,早,早,日,日,公,9,,6,10,1,2
AG,2F,日,日,日,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,,0,0,0,0
AH,2F,公,日,日,公,日,日,日,公,公,早,早,早,日,公,日,夜,明,公,公,公,早,日,日,公,夜,明,公,公,早,公,早,11,,7,6,2,2
AI,2F,公,公,早,夜,明,公,日,夜,明,公,夜,明,公,公,公,日,夜,明,公,日,早,夜,明,公,公,早,早,早,公,日,早,9,,4,5,5,5
AJ,2F,公,日,早,公,公,夜,明,公,早,夜,明,公,公,日,早,早,日,公,早,日,日,早,公,早,日,公,日,公,日,日,日,9,,9,6,2,2
AK,2F,公,日,日,公,夜,明,公,公,日,早,夜,明,公,夜,明,公,日,公,日,早,日,公,公,夜,明,公,公,日,日,公,日,11,,7,2,4,4
AL,2F,日,公,公,日,公,早,夜,明,公,日,夜,明,公,夜,明,公,日,公,日,公,日,日,夜,明,公,日,夜,明,公,公,日,9,,8,1,5,5
AM,1F,公,夜,明,公,公,公,公,公,早,早,夜,明,公,公,早,公,早,夜,明,公,公,公,公,早,夜,明,公,公,公,公,公,17,,0,5,3,3
AN,2F,公,日,日,夜,明,公,公,日,日,夜,明,公,公,公,早,公,公,早,公,公,公,公,公,日,夜,明,公,公,公,公,日,16,,4,2,3,3
AO,2F,公,公,公,早,日,公,公,公,夜,明,公,早,公,公,公,公,公,夜,明,公,公,公,公,夜,明,公,公,公,公,公,日,18,,2,2,3,3
日勤合計,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,
早出合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
夜勤合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
明勤合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
