職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
U,2F,夜,明,公,早,夜,明,公,早,日,日,公,公,夜,明,公,日,日,日,公,日,早,夜,明,公,夜,明,公,夜,明,公,夜,8,,6,3,6,5
V,2F,明,公,日,日,夜,明,公,日,日,公,日,日,夜,明,公,公,日,日,夜,明,公,公,日,早,日,公,日,日,夜,明,公,8,,11,1,4,4
W,2F,夜,明,公,早,日,夜,明,公,夜,明,公,夜,明,公,公,日,日,早,日,公,早,早,日,公,早,日,公,日,公,早,公,9,,7,6,3,3
X,2F,公,日,早,夜,明,公,早,早,日,公,日,公,日,日,日,公,早,早,公,早,公,夜,明,公,早,早,夜,明,公,夜,明,8,,5,7,4,4
Y,2F,早,早,夜,明,公,公,日,日,公,日,公,日,日,日,日,公,早,早,日,早,公,早,早,夜,明,公,夜,明,公,公,日,9,,9,5,2,3
Z,2F,早,夜,明,公,公,公,日,夜,明,公,日,公,日,日,日,日,公,公,早,夜,明,公,夜,明,公,夜,明,公,日,公,公,12,,7,1,4,4
AA,2F,日,公,公,日,日,日,公,公,日,日,日,早,公,日,日,日,公,公,夜,明,公,日,夜,明,公,日,日,早,公,早,日,8,,13,3,2,2
AB,2F,明,公,公,公,早,公,公,日,公,早,早,早,公,日,日,夜,明,公,早,早,夜,明,公,日,早,公,早,公,日,日,日,9,,7,8,2,2
AC,2F,公,日,日,公,公,早,日,夜,明,公,公,日,公,早,早,夜,明,公,早,公,日,夜,明,公,日,公,夜,明,公,日,早,10,,5,5,4,4
AD,2F,早,夜,明,公,公,公,夜,明,公,早,早,公,早,早,早,日,公,夜,明,公,日,日,公,日,日,夜,明,公,夜,明,公,10,,5,5,4,4
AE,2F,日,早,夜,明,公,日,早,公,夜,明,公,公,早,公,早,早,夜,明,公,公,早,日,夜,明,公,日,公,早,早,日,公,10,,4,7,3,4
AF,2F,公,早,夜,明,公,夜,明,公,早,夜,明,公,早,早,公,早,夜,明,公,日,日,公,公,日,公,公,早,早,日,日,公,10,,5,6,3,4
AG,2F,日,日,日,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,,0,0,0,0
AH,2F,公,日,日,日,公,日,夜,明,公,日,早,早,公,公,公,早,公,日,日,公,日,公,早,早,公,夜,明,公,早,公,日,11,,7,6,2,2
AI,2F,公,公,早,公,日,夜,明,公,早,夜,明,公,公,公,公,公,夜,明,公,夜,明,公,公,早,夜,明,公,日,早,夜,明,11,,2,3,6,6
AJ,2F,公,日,早,公,公,早,夜,明,公,早,公,夜,明,公,公,夜,明,公,公,日,日,公,早,公,日,日,早,公,日,日,早,11,,6,5,3,3
AK,2F,公,日,日,公,日,早,早,公,公,夜,明,公,夜,明,公,公,公,夜,明,公,夜,明,公,夜,明,公,公,日,日,早,早,11,,3,4,5,5
AL,2F,日,公,公,日,早,日,日,公,日,公,夜,明,公,夜,明,公,早,公,公,日,夜,明,公,日,公,早,日,夜,明,公,夜,9,,7,3,5,4
AM,1F,公,夜,明,公,日,公,公,公,早,早,夜,明,公,公,日,公,早,夜,明,公,公,公,公,早,夜,明,公,公,公,公,公,16,,2,4,3,3
AN,2F,公,日,日,日,早,公,公,公,公,公,夜,明,公,公,夜,明,公,夜,明,公,公,公,公,夜,明,公,公,公,公,公,日,17,,2,1,4,4
AO,2F,公,公,公,夜,明,公,公,日,公,日,夜,明,公,公,夜,明,公,公,公,公,公,早,公,日,夜,明,公,公,公,公,夜,15,,3,1,5,4
日勤合計,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,
早出合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
夜勤合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
明勤合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
